,input,actual,predicted
1994,"szen-szen-na erin2 za3-ga-na gub-bu
","who stands in battle with the troops at his side 
","on his shoulder
"
1995,"ensi2
","governor 
","ruler
"
1996,"nig2-ka9-ak
","xxx 
","xxx
"
1997,"gu4-bi tur3-bi-a nu-gub-bu-de3
","that the cattle should not stand in the pen 
","So that the ox does not does not stand in its cattlepen
"
1998,"gu2-tar inim-{d}szara2 dumu da-a-ga
","xxx 
","xxx
"
1999,"{gesz}kur
","a log 
","kindling wood
"
2000,"nu-ur2-{d}iszkur
","to NrAdda
","NurAdad
"
2001,"dumu en-an-na-tum2
","son of Enanatum 
","son of Enanatum
"
2002,"sze-bi 4(asz) 1(barig) 2(ban2) gur
","its barley 4 gur 1 barig 2 ban2 
","its barley 4 gur 1 barig 2 ban2
"
2003,"iri-sag-pu2-sze3 %a a-na ka-ar-x-x
","to the City at the Top of the Pit 
","it opposes the young man who has no rival
"
2004,"4(u) 7(disz) udu
","total 47 sheep 
","47 sheep
"
2005,"1(u) 4(disz) udu
","total 14 small cattle 
","14 sheep
"
2006,"7(disz) sila3 ninda AB u4 2(disz)-kam
","7 sila3 ABbread on the 2nd day
","7 sila3 ABbread on the 2nd day
"
2007,"abul 4(disz)-kam-ma ku4-ku4-da-ni-ta
","When she entered the 4th gate 
","When she entered the 4th gate
"
2008,"du6 gesz-ab-ba-ta
","from the Mound of Sea Trees 
","The aur and mansim sieves compete to see
"
2009,"e2-ninnu anzu2{muszen}-babbar2-ra-ni
","namely his Eninnu temple with the white eagle 
","his temple Eninnu With the White Thunderbird
"
2010,"{d}szul-|MUSZxPA|-am6
","is ulMUxPA 
","is ulMUxPA
"
2011,"gesz-ka2-na = %a si2-ip-pu-um
","door jamb 
","it was embittered anger
"
2012,"gar3 dar-ra-ni
","when he had been driven back 
","lightning bolt
"
2013,"2(disz) udu 1(disz) sila4 x-ma-szum sagi
","2 sheep 1 lamb from maum the cupbearer 
","2 rams 1 lamb Zariq
"
2014,"1(disz) sa szum2
","1 bundel onions 
","1 bundle onions
"
2015,"nam-ti-la-ni-sze3 a mu-na-ru
","For his life he dedicated it to her
","and dedicated it to him for the sake of his life
"
2016,"u4-ba
","then
","At that time
"
2017,"1(gesz2) 4(u) la2 2(asz) ziz2 babbar2
","1 less 2 white emmer 
","1 less 2 emmer
"
2018,"e2 {d}nansze
","The temple of Nane 
","had the temple of Nane
"
2019,"u3 du10 gar-ra-am3
","enjoyed sweet sleep
","and is within it
"
2020,"kesz3{ki}-ginx rib-ba lu2 szi-in-ga-tum2-mu
","Will anyone else bring forth something as great as Ke 
","Will anyone else bring forth something as great as Ke
"
2021,"lagasz{ki}
","of Laga 
","of Laga
"
2022,"bu3-ma-ma
","did Bumama
","lancet
"
2023,"sze-bi 3(u) gur
","its barley 3 gur 
","its barley 3 gur
"
2024,"8(asz) giri3 ur-{d}da-mu
","87 gur 1 barig salt 
","8 gur via UrDamu
"
2025,"1(disz) udu 1(disz) masz2
","1 sheep 1 billy goat 
","1 sheep 1 billy goat
"
2026,"{gesz}ka2 an-na-ke4 silim-ma mu-un-na-ab-be2
","The gate of heavenAn was greeting her 
","the arabu bird
"
2027,"suhusz kalam-ma-ka ki ba-e-la2
","and it sank as low as the foundation of the Land 
","It was excavated up to the foundation of the land
"
2028,"an-ta-sur-ra
","the Antasura 
","the Antasura
"
2029,"sul {d}utu AN x tal2 kur-kur ug3 lu-a dagal nam-...
","Youth Utu spread out  in the lands  the teeming and vastly populated people 
","Spreading open arms in protection
"
2030,"u4 ezem siskur2-ra-ka
","or on the day of the offering festival 
","On the day of the offering festival
"
2031,"1(u) ab2
","1 cows 
","1 cows
"
2032,"ugula lugal-nesag-e
","foreman Lugalnesage 
","foreman Lugalnesage
"
2033,"ug3-e igi hur-re igi-bi ...
","The people scratching their faces in despair their faces were changed 
","The people spend their time in moaning
"
2034,"{d}ba-ba6 szu12 URU-KA-gi-na-ka-ke4 ba-gub
","Baba stood by at the prayers of Urukagina 
","Baba at the prayers of Urukagina stood by
"
2035,"6(disz) gu4 niga saga
","6 fattened oxen good quality 
","6 oxen grainfed fine quality
"
2036,"{d}nansze
","For Nane 
","of Nane
"
2037,"da-da
","Dada 
","Dada
"
2038,"{d}en-lil2-la2
","of Enlil 
","of Enlil
"
2039,"a-sza3 kur-ra-ke sze nu-x x x x ...
","The field of the netherworld does not grow barley flour is not ground utilizing it why are you to sail with me 
","The field of the netherworld does not know barley
"
2040,"su6-mu2
","did Summu
","lancet
"
2041,"igi-{d}en-lil2-sze3
","IgiEnlilae 
","lancet
"
2042,"inim an-gal2
","or produce a claim about it 
","or produce a claim about it
"
2043,"ninda {d}utu mu-tum3
","Utu brings the bread
","The bread brings the bread
"
2044,"lugal kal-ga
","strong king 
","strong king
"
2045,"dingir kur2-ra u3 lugal-e gaba ri-ni-ta nig2-ba x-x-...
","Or gives it as a gift to a different god or different king by means of his opposition to the current king 
","Possessing a profound mind true woman possessing a purebright heart I want to speak to you about your me
"
2046,"lu2 umum-ma-ke4
","the persons of  
","the persons of
"
2047,"u3 nam-ti-la-ni
","also for her own life  
","and his life
"
2048,"a-lu5-lu5
","Alulu 
","Alulu
"
2049,"1(disz) masz2-gal niga
","1 barleyfed largegoat 
","1 barleyfed largegoat
"
2050,"la2-ia3 1(gesz2) 1(asz) 3(barig) sze gur
","the deficit 61 gur 3 barig 
","deficit 61 gur 3 barig barley
"
2051,"musz ba-dur
","a kind of snake 
","snake
"
2052,"lugal kisz{ki}
","king of Ki 
","the king of Ki
"
2053,"... x-ti-im x ... PI x x x ... x gi ...
","Giving birth to the just man thickeningreversing the blood in the heart of the evildoer 
","As long as I
"
2054,"gurusz munus x i3-na-ab{ki}-ke4-ne
","The men and women of Inab
","The male laborers of Inab
"
2055,"mu-na-du3
","he built for her 
","he built
"
2056,"iti 1(u) 2(disz)-kam
","xxx 
","xxx
"
2057,"{d}szul-gi
","ulgi 
","ulgi
"
2058,"me ug3-e szum2-mu
","he the giver of the divine attributes to the people
","who of Ningirsu
"
2059,"ensi2 lu2 gesztu2 dagal-kam gesztu2 i3-ga2-ga2
","The governor is wise he shall pay attention 
","The ruler of broad intelligence was established as double
"
2060,"dumu ma-ma
","son of Mama 
","and textile for Mama
"
2061,"dingir-igi-du
","Ilumigidu 
","to Dingirigidu
"
2062,"sza3 uri5{ki}-ma
","in Ur 
","in Ur
"
2063,"u4 1(disz)-sze3 e2-kikken sumun-sze3 sze ba-al-la
","for 1 day at the old mill grain unloaded 
","for 1 workday barley transferred
"
2064,"gala-am6
","are for the other lamentation singers 
","are for the other lamentation singers
"
2065,"ur-gir15-re ga-ba-al
","To a dog hostility 
","Its name is dog
"
2066,"bara2 {d}nu-musz-da-ka-sze3
","to the Dais of Numuda 
","to the Dais of Numuda
"
2067,"mu en {d}nanna masz-e i3-pa3
","year The enpriestess of Nanna by means of extispicy was chosen 
","xxx
"
2068,"gu2 nidba-x si ma-ra-an-sa2
","He has set the loads of nindaba offerings in order for you 
","The allegiancesense of the land was eradicated and the people wailed
"
2069,"1(disz) kusz ab2-mah2 a-gar nu-gu7-a
","1 hide of fullgrown cow not tanned 
","1 hide of the mature cow not tanned
"
2070,"{d}inanna
","For Inanna 
","For Inanna
"
2071,"u2 nu-zu-me-esz a nu-zu-me-esz
","know no food know no drink 
","Who did not know food they did not know water
"
2072,"1(barig) lugal-sza3-la2 dumu lu2-dingir-ra
","1 barig Lugalala son of Ludingira
","1 barig Lugalala the son of Ludingira
"
2073,"1(asz) tug2
","one woolen garment 
","one woolen garment
"
2074,"nig2-ka9-bi gar-ra nam-dub-sar i3-zu-a-gu10 nu-ub-tum3
","The account having been established my knowledge of the scribal art is not taken away 
","Its balanced account in the scribal art supplants your tablet of the scribal art
"
2075,"mu sza-asz-ru{ki} ba-hul
","xxx 
","year aru was destroyed
"
2076,"e2 {d}szul-gi-ra-sze3
","to the temple of ulgi 
","xxx
"
2077,"za-e tur pe-el-la2 na-ga2-ah-me-en
","You are a defiled child stupid 
","You should not hurl throwsticks in the nether world
"
2078,"mu-bi-sze3 {d}nin-lil2-le
","Because of this Ninlil 
","at the place Ninlil
"
2079,"esz3 uri2{ki} e2-temen-ni2-gur3-sze3
","to the shrine of Ur the Etemenniguru 
","Ur at the shrine Ur
"
2080,"1(disz) lugal-nesag-e
","1 diworker Lugalnesage 
","1 Lugalnesage
"
2081,"nam-ti dam dumu-ne-ne-sze3
","For the life of his wife and children 
","and for the lives of his wife and children
"
2082,"i3-in-ku4
","has entered
","has entered
"
2083,"{d}nin-gir2-su
","To Ningirsu 
","For Ningirsu
"
2084,"nam-nir-gal2 gidri mah szum2-ma
","given authority and a great scepter 
","given authority and a great scepter
"
2085,"dumu sag
","the firstborn son
","firstborn son
"
2086,"1(disz) sila4
","1 lamb 
","1 lamb
"
2087,"dingir gu3-de2-a
","is the personal god of Gudea 
","the god Gudea
"
2088,"kur szubur-ra gaba-gaba a-ab-ba igi-nim-ma x-x
","the land of Subartu on the shores of the Upper Sea 
","the land of Subartu on the shores of the Upper Sea
"
2089,"gizzu-bi kur-kur-ra du6-la
","whose shade covers all lands 
","may barbararrows like heaven
"
2090,"bi2-in-ak-a-asz
","he did accomplish
","lancet
"
2091,"giri3-se3-ga iri
","xxx 
","xxx
"
2092,"giri3 ur-{d}szul-pa-e3 ku3-dim2
","via Urulpae the silversmith 
","via Urulpae the silversmith
"
2093,"mu-sar-ra-ba
","A person who this inscription 
","and its inscription
"
2094,"2(disz) gin2 i3 2(disz) gin2 naga
","2 shekels oil 2 shekels alkaliplant 
","2 shekels oil 2 shekels alkaliplant
"
2095,"sza a-na re-esz szuku um-ma-na-tim u3 erin2 a-hi-a-tim
","that the rationing of the troops and associated workers 
","scales of
"
2096,"nam-nin-a tum2-ma
","one fit for ladyship 
","one fitting for queenship
"
2097,"{d}ri-im-{d}suen-{d}sza-la-ba-asz-ta-szu
","I RmSnalabtau 
","lancet
"
2098,"zu2 al im aga3-ri2-na-ba-sze3
","On its firing 
","He dug the canal Nigingitukuam
"
2099,"inim gaba-ri-...
","As if you can posit the word of an opponent 
","Written on tablets
"
2100,"igi {d}|ESZ2.LIL.DU| nig2-ba na-ni-ga2-ga2
","they established the rations before the god 
","The accusatory finger was there pointing behind him
"
2101,"2(barig) lu2-eb
","2 barig Lueb
","2 barig Lueb
"
2102,"mu us2-sa bad3 ma-da ba-du3-sze3
","xxx 
","xxx
"
2103,"{d}nin-hur-sag-ga2 masz-kan2-szabra{ki}-ta
","From Ninhursagas abra Settlement 
","Ningursaga
"
2104,"{d}iszkur {gesz}tukul {d}en-lil2-le ma-an-szum2
","O Ikur Enlil has given me the weapons
","Ikur has given me strength by Enlil
"
2105,"x-da
","and the  
","are here
"
2106,"ga2-nam-ma-an-ze2-en ur2 ku3 {d}inanna-ka-sze3 ga-da-re7-en-de3-en
","Come let us go to the holy lap of Inanna 
","Come let us go to the holy loins of Inanna
"
2107,"szu-sze3 mu-un-dab5 ki-za nam-ba-an-tum2
","He seized his hand saying he Enkidu shall not dig your grave 
","He took the tree and did the pestle
"
2108,"dub gid2-da
","xxx 
","xxx
"
2109,"1(u) 4(disz) 2/3(disz) gin2 sa10-am3 x x x zabar uruda szu-nir-ra x
","14 23 shekels exchange middle for  bronze copper standards  
","14 23 shekels barley 4 smallshekels its shekel
"
2110,"... szu mu-ra-mu2-mu2 szud3-da-ni gesz tuku-bi2-ib
"," prays to you hear his ud prayer 
","Did you see the leprous man
"
2111,"GAN x
","king of Ki 
","cannot
"
2112,"dam ur-sag kal-ga
","wife of the mighty hero 
","the mighty warrior
"
2113,"{d}nin-a2-gal
","For Ninagala  
","For Ninagala
"
2114,"... li-x x
","It was able to set its neck on the ground sarcastically it was speaking freelyhumbly 
","Thinheadeddeprecating man stupid of mind
"
2115,"|KAxX| KU x sa-hir szu IN sza-ra x x x x x ...
"," the carrying net  
","Evildoer carrying net
"
2116,"en-te-ni-isz
","IbbiSuen 
","lancet
"
2117,"mu sza-asz-szu2-ru-um{ki} a-ra2 2(disz)-kam ba-hul
","Year arum was destroyed for the second time 
","year For the 2nd time arum was destroyed
"
2118,"en-nu-ug3-ga2-en-nu-ug3 nu-me-a nam-usz2-ta sa2-a
","There being no guard is tantamount to death 
","but
"
2119,"nam-lugal-bi unu{ki}-sze3 ba-de6
","the kingship to Uruk was carried off 
","the kingship to Uruk was carried off
"
2120,"ga zi gu7-a
","fed rich milk 
","fed rich milk
"
2121,"iti sig4 u4 2(u) 5(disz) ba-zal
","month Bricks the 25th day passed 
","of the month day 25 elapsed
"
2122,"lugal an-ki-ke4 x x DAR-a nam-gal-zu-sze3 ba-an-du11
","The king of the universe  spoke on account of your greatness 
","57 lines
"
2123,"{gesz}HU ma2-sze3 ga6-ga2
","strings to the boat carried 
","to the boat carried
"
2124,"masz be2-pa3
","he chose by kidomen 
","Four breed bulls
"
2125,"a mu-na-ru
","he dedicated to him 
","he dedicated it to him
"
2126,"u4 duh-a-gu10 iti-da u4 esz5-am3
","My idle days are three days per month 
","The circumscribed limits of
"
2127,"lu2-lugal
","Sni 
","lancet
"
2128,"e-ne ...
","That one  
","With the midstheart of a storm
"
2129,"{d}alamusz-a {gesz}gidri ba-da-an-szub szu-ni gu4-u4-gu4-x
","NannaSuens vizier Alamu dropped the scepter with his hand shaking 
","or the wellordered having effaced
"
2130,"ku-li ki-ag2
","beloved friend 
","beloved friend
"
2131,"7(asz) sab i3-nun
","7 jars of butter oil 
","7 jars of butter oil
"
2132,"na-wi-ru-um
","Nawirum 
","lancet
"
2133,"di si sa2 ku5-me-en tesz2 mu-zu he2-i-i
","you make just decisions Your name be praised indeed 
","Your vault is a wild bull raising its horns
"
2134,"{d}szu-{d}suen
","Suen
","Suen
"
2135,"i7 e UR-tum-sze3
","to the Canal of the URtum Levee 
","The river gurgles to the lord
"
2136,"mu ur-bi2-lum{ki} ba-hul
","xxx 
","year Urbilum was destroyed
"
2137,"ama-ni-ir
","his mother
","Who allocates the cosmic power to his mother
"
2138,"ARAD2 {d}ri-im-{d}suen
","servant of RmSn 
","servant of RmSn
"
2139,"{gesz}szu
","a handle 
","manacles
"
2140,"... ma-al-DA-al-la i-si-isz-bi ma-la2
","The storm that is set for me its sorrowwailing hangs upon me 
","The accusatory finger was there pointing behind him
"
2141,"2(disz)
","Princely son emerged from the pure  spending time  his horn  
","total 2
"
2142,"1(u) 7(disz) gurusz 3(disz) gurusz tu-ra
","17 laborers 3 laborers sick
","17 male laborers 3
"
2143,"... inim {d}suen mah-am3 gaba-ri ...
","The word of Suen is supreme it has no rival 
","The true word of Suen is a rival
"
2144,"gesz gi
","Lumber reed
","reed enclosure
"
2145,"...-ib2-gi4
","My king it has advised you because of your might 
","lancet
"
2146,"a:zu5 |HIxNUN|-|DU.DU|
"," doctor
","Thinheadeddeprecating man stupid of mind
"
2147,"na-ru2-a-bi
","Its steles 
","Its steles
"
2148,"ensi2
","the ruler 
","ruler
"
2149,"nibru{ki} bara2-dur2-gar-ra mu-...
","She abandoned Nibru and the Ebaragdurjara temple and went down to the netherworld 
","She abandoned the Baradurgara in Nibru and
"
2150,"i3-sub6-be2
","shall be rubbed
","lancet
"
2151,"n 7(disz) gurusz in-bul5-bul5 ga6-ga2
","n  7 male laborers straw carried 
","n 7 male laborers straw carried
"
2152,"ARAD2-zu
","is your servant
","is your servant
"
2153,"... sa-sa-da-ni
","When he  the corner of his eye 
","Thinheadeddeprecating man stupid of mind
"
2154,"inim-ba ha-mu-da-gub
","may she stand by me in this case 
","on a day
"
2155,"3(disz) gurusz ugula szesz-kal-la
","3 male laborers foreman ekalla 
","3 laborers foreman ekala
"
2156,"ku3-sig17 ku3-babbar2-ra
","With gold and silver 
","With gold and silver
"
2157,"a gub2-ba an ku3-ge-de3
","whose cleansed water purifies heaven
","They let the water fall down for heaven and earth
"
2158,"1(gesz'u) 5(gesz2) 4(u) 5(disz) sar {u2}kiszi17 ku5-ra2 1(u) 5(disz) sar-ta
","945 sar acacia cut at 15 sar per day 
","795 sar acacia cut at 15 sar per day
"
2159,"sag-nig2-gur11-ra
","xxx 
","debits
"
2160,"nin-a-ni
","his mistress 
","his mistress
"
2161,"ge6-par4 ku3-ga2 hu-mu-un-szi-ku4-re-...
","I shall enter into my holy cloister 
","His pure gipar residences are indeed 3
"
2162,"na-ra-am {d}en-lil2
","beloved of Enlil 
","is the Beloved of Enlil
"
2163,"mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul
","year Hari and Kima were destroyed 
","year Hari and Kima were destroyed
"
2164,"2(asz) 2(barig) 3(ban2) kiszib3 ab-ba-kal-la
","and 2 gur 2 barig 3 ban2 under seal of Abbakala
","2 gur 2 barig 3 ban2 under seal of Abbakala
"
2165,"ki lu2-giri17-zal-ta
","from LuGirizal
","from LuGirizal
"
2166,"ki-ru-gu2 8(disz)-kam-ma-am3
","8th kirugu 
","It is the 4th kirigu
"
2167,"3(gesz'u) 3(gesz2) 1(u) 2(disz) 2/3(disz) geme2 u4 1(disz)-sze3
","1992 23 workdays 
","198 23 female laborer days
"
2168,"6(disz) {gi}kid
","6 reedmats
","6 kidmats
"
2169,"3(u) gur a-sza3 a-bu3
","3 gur field Abu 
","3 gur field Abu
"
2170,"dam-a-ni {d}nam-ra-at munus sag9-ga ezem-ma mu-un-...
","his wife Namrat the lovely woman participated in the festival
","His wife Namrat the beautiful lady was decreeing its fate
"
2171,"lu2-kurun-na-ka
","The adze belongs to the carpenter the stone anvil belongs to the blacksmith and sweet  belongs to the brewer 
","lancet
"
2172,"{d}szara2
","To ara 
","For ara
"
2173,"iti buru14-masz
","total 12 
","month Flight
"
2174,"ki-ru-gu2 7(disz)-kam-ma-am3
","7th kirugu 
","7th kirugu
"
2175,"gir2-nun-ta
","from the Princely Way 
","from the Princely Way
"
2176,"da-x-x-za-ti-da
","Dazitida
","lancet
"
2177,"n ...
","it has  
","it has
"
2178,"musz ki-in-dar
","snake of earthen cracks 
","snake of the cracks in the earth
"
2179,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
2180,"igi ensi2-ka-sze3 ba-an-ge-en6
","before the governor it was confirmed 
","It was orally confirmed
"
2181,"sza3 iri-na-ka
","in the middle of his city 
","In the heart of his city
"
2182,"he2-em-mi-gar
","I established 
","I set up there
"
2183,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
2184,"na-sa6 i3-dab5
","Nasa accepted 
","Nasa received
"
2185,"lugal kal-ga
","strong king 
","strong king
"
2186,"zi-sza3-gal2 kalam-ma
","which mean life for the Land 
","and life of the nation
"
2187,"zimbir{ki}-sze3
","all the way up to Sippar
","For Sippar
"
2188,"muszen-du3 muszen gur3-ru-zu ul4-ul4-e im-gen
","Your fowler who bring birds hurriedly goes away 
","Lightning carried off your fowler who was carrying birds how long will this last
"
2189,"bir-hur-tur-ra abul-la e3-da-ni
","As soon as Birurtura went out through the city gate 
","Birurtura through the city left
"
2190,"gu2-edin-na
","the Guedena 
","the Guedena
"
2191,"me3-gu10 an ki szu2-a-bi lu2 la-ba-ra-e3
","In the whole extent of heaven and earth no one can escape from a battle with me 
","The butchers knife that used to slay heaven and earth
"
2192,"kisal
","south 
","the courtyard
"
2193,"{gesz}szu-kara2 a2-kar2-ra {gesz}pa-a-szu a2-gid2-da da-da-ra-sze3 mi-ni-in-x
","He girded himselfhis long arms with implements armor the pau ax and a spear 
","to the toolcarpenter
"
2194,"i3-gal2
","are here 
","are here
"
2195,"...-sze3 ni2 he2-eb-szi-te-en-te-en
","Therefore shall relax towards its cool side 
","The accusatory finger was there pointing behind him
"
2196,"{d}nansze
","of Nane 
","of Nane
"
2197,"an-ta he2-szu4
","may it fall from the sky 
","may it fall from the sky
"
2198,"sze gesz e3-a
","xxx 
","barley threshed
"
2199,"i3-gal2
","are here 
","are here
"
2200,"ki gu4 muhaldim
","is your servant
","xxx
"
2201,"e2-gal ti-ra-asz2
","the palace Tira 
","his palace of Tira
"
2202,"{gesz}ig i3-szesz2
","a door anointed with oil 
","a door jamb
"
2203,"{d}ri-im-{d}suen lugal-gu10
","RmSn my king 
","RmSn my king
"
2204,"kar-e-kid
","one stationed at the quay 
","lancet
"
2205,"4(gesz'u) sa2
","4 24 ninda squared 
","4 24 ninda squared
"
2206,"in-pa3
","did choose
","did choose
"
2207,"ur-sag-e dingir szesz-zu-ne-a dingir na-me ur5-gin7 nu-mu-un-ak-e
","Hero no god among your brother gods could have acted so 
","The hero avenged his city
"
2208,"sze-bi 3(gesz2) 5(u) 8(asz) 1(barig) 3(ban2) gur
","barley involved 238 gur 1 barig 3 ban2 
","its barley 238 gur 1 barig 3 ban2
"
2209,"e2
","house of 
","house of
"
2210,"{d}utu-he2-gal2
","of Utuegal
","Utuegal
"
2211,"ki-sa2-a-bi szu pesz11-e-de3
","expanding its platform
","to expand its platform
"
2212,"nibru{ki}-a nir-gal2
","being noble in Nippur 
","in Nippur
"
2213,"... esz3 e2-kisz-nu-gal2-sze3(TUG2) x x mu-ni-in-x-...
"," towards shrine Ekinugal  
","The shrine of the processional barges
"
2214,"1(disz) sila4 ensi2 adab{ki}
","1 lamb governor of Adab 
","1 lamb of Adab
"
2215,"lugal-a-ni
","his master 
","his master
"
2216,"kiszib3 gu-du-du
","under seal of Gududu 
","under seal of Gududu
"
2217,"u3 {d}nin-urta-ke4
","and Ninurta
","and Ninurta
"
2218,"2(gesz2) 4(disz) dumu 1(ban2)-ta
","124 children 1 ban2  1 sila3 each 
","134 children 1 ban2 1 sila3 each
"
2219,"mu-na-ni-du3
","he built for him 
","he built for her
"
2220,"nig2-ba nin
","xxx 
","gift of the lady
"
2221,"nita kal-ga
","the mighty man 
","the mighty man
"
2222,"giri3-mu luh-ha-ab-ze2-en {gesz}na2 gub-ba-ab-ze2-en ga-ba-nu2-e-sze
","My feet wash my bed set up I would lie down saying 
","when you have reached the flowered bed
"
2223,"a-ru-a lugal-sa6-ga
","donated by Lugalsaga 
","donated by Lugalsaga
"
2224,"esir2 ma2-da-ga
","of bitumen to Madaga 
","dry bitumen
"
2225,"ka-zal-lu{ki}
","is your servant
","of Kazallu
"
2226,"silax(LAK636)-silax(LAK636)
","kneading 
","lancet
"
2227,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
2228,"{d}gibil6 {gesz}al-a-ni sag an-sze3 mi-ni-in-il2
","Gibil raised the head of his hoe towards heaven 
","Gibil praised his hoe
"
2229,"a. n gid2
","n  the length 
","n the length
"
2230,"2(barig) ur-{d}al-la
","2 barig UrAlla
","2 barig UrAlla
"
2231,"ga2-e bulug4-gu10 ga-am3-...
","I want to  my chiselboundary stake 
","I am profoundly distressed
"
2232,"erin2 sag-apin
","labortroops of headplowmen 
","xxx
"
2233,"lugal kal-ga
","the mighty king 
","strong king
"
2234,"al-duru5 szukur2-am3 al-duru5-x
","If wet it is a ration if dry it is a ration 
","The priestsmith Nintukalamma
"
2235,"giri3 in-ti-la
","via Intila 
","Lunimgira
"
2236,"kusz2-a gar-ra-bi er2-sze3 ba-ab-be2-ne
","They were bewailing the hardship which beset them 
","as those who seizes its established there like a crying
"
2237,"sza3 an-za-gar3
","in Anzagar 
","at the tower of the tower
"
2238,"gu4 szu4-dul5 ha-la-a
","xxx 
","The ox or bull
"
2239,"x nam x x x
","to the Mound of EnmenSAR 
","the fate
"
2240,"lu2-{d}ma-ma
","is your servant 
","lancet
"
2241,"{d}nin-gir2-su-ke4
","Ningirsu 
","Ningirsu
"
2242,"3(disz) gin2 i3 2(disz) gin2 naga
","3 shekels oil 2 shekels alkaliplant 
","3 shekels oil 2 shekels alkaliplant
"
2243,"iti sze-sag11-ku5
","month Harvest 
","month Harvest
"
2244,"iti ezem-an-na
","month FestivalofAn 
","month Festival of An
"
2245,"... {gesz}dag-si la2-a-gin7 ki-a nam-ba-ga-x-...
"," like it was hanging from a saddle hook do not  on the ground 
","Therefore the robbers that occupy the plain have been pulverized
"
2246,"...-ni sag a-na-asz ba-ab-su3 ug3 sag-ge6-ga a-ba-a in-lu-lu-un
","Why was  expanded Who made the blackheaded people become so numerous 
","Why does the youth act wickedly in his way of the blackheaded people
"
2247,"ki a-a-kal-la aszgab
","xxx 
","for Ayakalla the leatherworker
"
2248,"e min-a-bi hur-sag-gin7 u3-mu-un-dim2 me-lam2 hu-mu-du8-du8
","When I had built its two levees like a mountain range I filled them up with divine radiance 
","As two companions he and another mountain range
"
2249,"dub-sar
","scribe
","scribe
"
2250,"5(disz) sila3 kasz saga 5(disz) sila3 ninda 3(disz) gin2 i3 2(disz) gin2 naga
","5 sila3 fine beer 5 sila3 bread 3 shekels oil 2 shekels alkaliplant 
","5 sila3 fine beer 5 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant
"
2251,"kislah lu2 al-tak4
","another man leaves abandoned empty land
","the empty land is left neglected
"
2252,"zi-de3-esz
","truly 
","truly
"
2253,"2(asz) szu-bad sa2
","2 openhands squared 
","2 openhands squared
"
2254,"nibru{ki}-ka
","of Nippur 
","of Nippur
"
2255,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
2256,"dub-sar
","scribe 
","scribe
"
2257,"en sze-ga
","obedient en priest 
","favored en priest
"
2258,"sanga
","the temple administrator 
","the administrator
"
2259,"lu2-zu gaz2-de3 sag pel2-la2-ka muszen-gin7 gesz-bur2 x-MU-ni u4 mu-na-ab-UD-x x x
","Your man who is to kill when he  the head of the defiler with a gebur trapsnare like a bird  daylight  
","If I show you where your man is hereby repaid to you there
"
2260,"a-na dumu-munus an 7(disz@v) 7(disz@v)
","to the daughters of An 77 
","What the daughter of An
"
2261,"igi SI a-ra2 x ... MU ...
","Reciprocals multiplication  
","who the
"
2262,"kiszib3 ba-zi-ge dumu ka5-a
","under seal of Bazige son of Kaa
","under seal of Bazige
"
2263,"mu nig2-gu7-a geme2 ARAD2-e-ne
","as food for the female and male slaves 
","year The female servants brought out the balag drum
"
2264,"u4 7(disz)-sze3 e2-duru5 szesz du3-a-ta kun-zi-da i7 {d}amar-{d}suen-ni-tum-sze3
","for 7 workdays from Uriruvillage to reservoir of AmarSuentum canal 
","For 7 workdays to reservoir of AmarSuentum canal
"
2265,"i3-gal2
","are here 
","are here
"
2266,"nigin-ba gu4-apin-na
","grand totals of plowoxen 
","grand totals of the plowoxen
"
2267,"kusz a2-la2
","for the aladrum 
","the aladrum musicians
"
2268,"szu ba-ti
","received
","received
"
2269,"5/6(disz) ma-na 3(disz) 1/2(disz) gin2 1(u) 1/2(disz) sze ku3-babbar
","56 mana 3 12 shekels 1 12 grains silver 
","56 mana 3 12 shekel 1 12 grains of silver
"
2270,"e2-an-na ...
","The Eanna your 3rd tavern 
","The Eanna temple
"
2271,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
2272,"... ki-sur-ra
","The canal of the border territory
","over the boundary territory
"
2273,"e2-kesz3{ki} al-du3 giriz-zal-bi al-du10
","The house Ke is built its nobility is good 
","The house is built its nobility is good
"
2274,"u4-bi-a ku6-e muszen-ra sa2 im-ke3-ke3-de3
","At that time the fish was to make plans against the bird 
","At that time the fish insulted the bird
"
2275,"7(asz) 2(barig) mu ur-e2-babbar2-sze3
","87 gur 1 barig salt 
","7 gur 2 barig Lubalaaga
"
2276,"dumu ur-{d}dumu-zi-da
","son of Urdumuzida
","son of UrDumuzida
"
2277,"x GA2 dab5 x ma-da
","greatly pleasant 
","apple
"
2278,"ba-gara2
","Bagara 
","The Bagara
"
2279,"gesz-hur szu-luh gal-bi szu im-mi-in-du7-a
","who having correctly performed their great divine plans and lustration rites 
","The plans of the uluh rites of the watery deep fastened to the ba garment
"
