input,actual,predicted
"a-tu ra2-gaba maszkim 2(disz) udu niga {d}inanna unu{ki}
","Atu rider responsible official 2 sheep barleyfed for Inanna of Uruk
","Atu the courier your servant 2 sheep barleyfed for Inanna in Uruk
"
"iti szu-esz-sza mu en-mah-gal-an-na en {d}nanna ba-hun
","month uea  year Enmagalana enpriestess of Nanna was installed 
","month uea year Enmagalana enpriestess of Nanna was installed
"
"7(gesz2) 1(u) HAR {gesz}haszhur 1(u) 2(disz) HAR {gesz}pesz3
","43 AR objects of apple trees  12 AR objects of pear trees 
","43 AR objects of apple trees 12 AR objects of pear trees
"
"1(disz) gu4 2(u) udu
","total 1 ox 2 small cattle 
","total 1 ox 2 small cattle
"
"iti 1(u) la2 1(disz)-kam he2-dab5 {gesz}tukul-e dab5-ba
","of the 9th month captives seized by the weapons
","of the 9th month captives seized by the weapons
"
"u4 3(u) la2 1(disz)-kam mu-kux(DU) ab-ba-sa6-ga i3-dab5
","29th day  delivery  Abbasaga accepted 
","29th day delivery Abbasaga accepted
"
"2(gesz2) 2(u) gurusz u4 1(disz)-sze3 mar-sa gub-ba
","14 workdays male laborers  at marsa stationed 
","14 workdays male laborers at marsa stationed
"
"1(asz) 1(barig) 3(ban2) sze gur lugal
","1 gur 1 barig 3 ban2 barley in the royal gur 
","1 gur 1 barig 3 ban2 barley according to the royal measure
"
"szunigin 5(u) 6(disz) dumu 1(disz) 1/2(disz) ma-na-ta
","total 56 children 1 12 mina each 
","total 56 children 1 12 mina each
"
"sza3 gurum2 lu2-... 3(disz) nin-dalla 3(disz) nin-ma2-gur8(TE)-re
","from the inspection of Lu  3 mana wool for Nindalla  3 mana wool for Ninmagure 
","from the inspection of Lu 3 mana wool for Nindalla 3 mana wool for Ninmagure
"
"a-pi4-sal4{ki}-ta nibru{ki}-sze3 ma2 i3 ga ku6 nisi gid2-da u3 ma2 gur-ra
","from Apisal to Nippur barge with oil cheese fish and vegetables punted and barge returned 
","from Apisal to Nippur barge with oil cheese fish and vegetables punted and barge returned
"
"kasz nag-sze3 giri3 nin-ha-ma-ti 1(disz) gu4 niga ba-usz2
","for beerdrinking  via Ninamati  1 ox barleyfed slaughtered 
","for beerdrinking via Ninamati 1 ox barleyfed slaughtered
"
"pisan-dub-ba nig2-ka9-ak a2 buru14
","Basketoftablets  accounts of  labor of harvest 
","Basketoftablets accounts of labor of harvest
"
"iti ezem-sze-il2-la iti GAN2-masz iti 2(disz)-kam
","month Festivalgrainlifted and month GANma  a period of two months 
","month Festivalgrainlifted and month GANma
"
"szunigin 1(bur'u) 5(bur3) 2(iku) 1/2(iku) GAN2 1(u)-ta
","total 15 bur3 2 12 iku surface area at 1 each 
","total 15 bur3 2 12 iku surface area at 1 each
"
"pisan-dub-ba nig2-ka9-ak ur-{d}nin-gesz-zi-da simug
","Basketoftablets  accounts  of UrNingezida the smith 
","Basketoftablets accounts of UrNingezida the smith
"
"szunigin 1(bur3) 2(esze3) 1(iku) 1/2(iku) GAN2 8(disz) 1/2(disz)-ta
","total 1 bur3 2 ee3 1 12 iku surface area at 8 12 each 
","total 1 bur3 2 ee3 1 12 iku surface area at 8 12 each
"
"ab-ba-mu u3 ur-{d}lamma i3-gal2 mu en {d}inanna masz-e i3-pa3
","Abbamu an UrLamma  are here  year The enpriest of Inanna by goat was found 
","Abbamu an UrLamma are here year The enpriest of Inanna by goat was found
"
"kiszib3 a-tu iti amar-a-a-si mu ur-bi2-lum{ki} ba-hul
","under seal of Atu  month Amarayasi  year Urbilum was destroyed 
","under seal of Atu month Amarayasi year Urbilum was destroyed
"
"a-sza3-bi 1(u) 1/3(disz) gin2 1/2(disz) ninda gid2 3(disz) kusz3 dagal 2(disz) kusz3 bur3
","its volume 1 13 shekels  12 ninda the length 3 cubits the width 2 cubits the depth 
","its volume 1 13 shekels 12 ninda the length 3 cubits the width 2 cubits the depth
"
"u3 zi-ga en-dingir-mu iti masz-da3-gu7-ta
","and credits  of Endingirmu  from month Gazelle feast 
","and credits of Endingirmu from month Gazelle feast
"
"guru7 a-pi4-sal4{ki}-sze3 im-zi 2(u) 4(disz) geme2 u4 1(disz)-sze3
","to the silo of Apisal moved  24 female laborer days 
","to the silo of Apisal moved 24 female laborer days
"
"1(asz) gu2 3(u) 6(disz) ma-na siki
","1 talent 36 mana wool 
","1 talent 36 mana wool
"
"ugula ur-{d}iszkur-x  1(disz) lu2-kal-la sagi
","foreman   1 Lukalla the cupbearer 
","foreman 1 Lukalla the cupbearer
"
"pisan-dub-ba nig2-ka9-ak lu2-{d}nin-gir2-su dumu i3-kal-la
","Basketoftablets  accounts of  LuNingirsu son of Ikalla 
","Basketoftablets accounts of LuNingirsu son of Ikalla
"
"5(asz) dabin gur lugal 3(asz) zi3 sig15 gur
","5 gur flour according to the royal measure  3 gur roughground flour 
","5 gur flour according to the royal measure 3 gur roughground flour
"
"szunigin 1(bur'u) 1(bur3) 1(esze3) 5(iku) 1/2(iku) GAN2 1(u)-ta
","total 11 bur3 1 ee3 5 12 iku surface area at 1 each 
","total 11 bur3 1 ee3 5 12 iku surface area at 1 each
"
"1(disz) {munus}asz2-gar3 niga e2-a-i3-li2 mu-kux(DU) na-sa6 i3-dab5
","1 fattened female kid from Eail  as delivery Nasa accepted 
","1 fattened female kid from Eail as delivery Nasa accepted
"
"szunigin 2(disz) 5/6(disz) ma-na 1/2(disz) gin2 4(disz) sze ku3-babbar
","Total 2 56 mana 12 shekel 4 grains of silver 
","total 2 56 mana 12 shekels 4 grains of silver
"
"1(disz) masz2 gub ... 3(disz) {munus}asz2-gar3 gub ...
","1 male kid   3 female kids  
","1 male kid 3 female kids
"
"1(u) 1(disz) gurusz 1(disz) gurusz a2 1/2(disz)
","11 male laborers  1 male laborer 12
","11 male laborers 1 male laborer 12
"
"iti masz-da3-gu7 mu us2-sa {d}amar-{d}suen lugal
","month Gazellefeast  year after AmarSuen is king 
","month Gazellefeast year after AmarSuen is king
"
"5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga-ta
","5 shekels onions 3 shekels oil 2 shekels alkaliplant each 
","5 shekels onions 3 shekels oil 2 shekels alkaliplant each
"
"lugal-si-NE-e 1(u) gur ur-{gesz}gigir
","LugalsiNEe  1 gur  Urgigir 
","LugalsiNEe 1 gur Urgigir
"
"lu2-kal-la engar nu-banda3-gu4 lugal-a2-zi-da gu4 {d}gu-la
","Lukalla the plowman  oxen manager Lugalazida  oxen of Gula 
","Lukalla the plowman of Lugalazida for Gula 1 oxen
"
"nig2-dab5 aga3 lugal ki li-sze-na giri3 ur-{d}da-mu
","nigdaboffering of the royal crown with Liena  via UrDamu 
","nigdaboffering of the royal crown the king from the intake of the outwaterway to
"
"ki lu2-gi-na-ta 3(disz) ma-na uruda ki-la2 {uruda}gur10 sumun 2(u)-kam
","from Lugina  3 minas of copper  weight of 2 old sickles 
","from Lugina 3 minas of copper weight of 2 old sickles
"
"nig2-ka9-ak lu2-sa6-i3-zu iti sig4-{gesz}i3-szub-ba-ga2-ra mu us2-sa ha-ar-szi{ki} ba-hul
","Account of Lusaizu  month Bricks cast in moulds month 2  year following Hari was destroyed AmarSuen 1 
","Account of Lusaizu month Bricks cast in moulds month 2 year following Hari was destroyed AmarSuen 1
"
"ga-ar3-bi 3(ban2) mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3 mu us2-sa-bi
","their kak cheese 3 ban2  year after The household PuzriDagan was erected year after that 
","their kak cheese 3 ban2 year after The household PuzriDagan was erected year after that
"
"6(disz) gurusz ugula lugal-ku3-zu 3(disz) gurusz ugula szesz-kal-la
","6 male laborers foreman Lugalkuzu  3 male laborers foreman ekalla 
","6 male laborers foreman Lugalkuzu 3 male laborers foreman ekalla
"
"1(disz) nin-mu-si-i3-sa2 dumu-ni-me usz2 nin-inim-gi-na
","and 1 for Ninmusisa  being her children  dead Nininimgina 
","and 1 for Ninmusisa being her children textile for Nininimgina
"
"u4 3(disz)-sze3 ma2 su3 gid2-da diri-ga
","3 workdays empty barge punted floated 
","3 workdays empty barge punted floated
"
"3(u) 7(disz) kusz udu sa2-du11 {d}szara2 |KI.AN|{ki}
","37 sheephides  regular offerings of ara of KIAN 
","37 sheephides regular offerings of ara of Kian
"
"2(ban2) 4(disz) sila3 duh u4 3(u)-sze3
","2 ban2 4 sila3 of bran  for 3 days 
","2 ban2 4 sila3 bran for 3 days
"
"iti e2-iti-6(disz) mu en-unu6-gal-an-na {d}inanna ba-hun
","month Monthsix  year Enunugalana of Inanna was installed 
","month Monthsix year Enunugalana of Inanna was installed
"
"3(u) 6(asz) gu2 3(u) 6(disz) 5/6(disz) ma-na 7(disz) gin2 siki
","36 talents 36 56 mina 7 shekels of wool 
","36 talents 36 56 mina 7 shekels of wool
"
"la2-ia3 7(gesz2) 2(u) 8(disz) gurusz u4 1(disz)-sze3
","the deficit 448 workdays male laborers 
","deficit 147 male laborer workdays
"
"2(u) 2(disz) gurusz u4 1(disz)-sze3 ga2-nun gaba-kar-ra-ta gu2 i7 idigna-sze3 gi ga6-ga2
","22 male laborer workdays  from the storage facility of Gabakara to the bank of the river Tigris reed transported 
","22 male laborer workdays from the storage facility of Gabakara to the bank of the river Tigris reed transported
"
"nu-banda3-gu4 szesz-kal-la dumu da-da 2(ban2) 5(disz) dumu a-da-ga
","the oxen driver of ekalla son of Dada  2 ban2 5 sila3 son of Adaga 
","the oxen driver of ekalla son of Dada 2 ban2 5 sila3 son of Adaga
"
"szu ba-ti iti min-esz3 mu en {d}nanna masz-e i3-pa3
","receive  month  7th month Umma calender year The priestess of Nanna with a goat was determined ulgi 43
","receive month 7th month Umma calender year The priestess of Nanna with a goat was determined ulgi 43
"
"kiszib3 lu2-{d}nin-gir2-su i3-dub inim-ma-dingir-ta 3(gesz'u) 3(u) 5(asz) 5(ban2) gur
","under seal of LuNingirsu from the depot Inimadingir 1835 gur 5 ban2
","under seal of LuNingirsu from the depot Inimadingir 1835 gur 5 ban2
"
"a-kal-la dub-sar dumu ur-nigar{gar}
","Akalla  scribe  son of Urnigar 
","Akalla scribe son of Urnigar
"
"szunigin duh-bi 2(asz) 2(barig) gur ki inim-{d}szara2 sza3 umma{ki}
","the total its bran 2 gur 2 barig  from Inimara in Umma 
","the total its bran 2 gur 2 barig from Inimara in Umma
"
"esz3-esz3 e2-u4-1(u) 5(disz) iti u4 1(u) 3(disz) ba-zal
","Temples ceremony HouseofDay15  the month day 13 passed 
","Temples ceremony HouseofDay15 the month day 13 passed
"
"iti ezem-{d}nin-a-zu mu us2-sa ur-bi2-lum{ki} ba-hul
","Month festival of the Ninazu  year after Urbilum was destroyed 
","Month festival of the Ninazu year after Urbilum was destroyed
"
"mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul
","year Simurum and Lulubu were destroyed for the 9th time 
","year Simurum and Lulubu were destroyed for the 9th time
"
"iti ... mu si-mu-ru-um{ki} ba-hul ur-{d}ma-mi
","month   year Simurrum was destroyed  UrMami 
","month year Simurrum was destroyed UrMami
"
"ma2 du8-a u3 uszur-bar {d}nin-mar{ki}-ka mu 3(disz)-a a-ra2 1(disz)-am3
","for the caulked boat and the outer district of Ninmar in three years for the first time 
","for the caulked boat and the outer district of Ninmar in three years for the first time
"
"kiszib3 a-du-mu 3(gesz2) 4(u) 2(disz) a2 geme2 bala-sze3 nu-gen-na ra a tuku
","sealed document of Adumu  222 female laborers labor of the female laborers who did not go to bala service  
","under seal of Adumu 222 female laborers labor of the female laborers who did not go to bala service
"
"lugal an-ub-da limmu2-ba puzur4-{d}szul-gi dumu a-bi2-a
","king of the four corners  is your servant  is your servant 
","king of the four corners is your servant is your servant
"
"3(disz) masz2 2(disz) sila4 ga ba-usz2 u4 2(u)-kam
","3 billy goat kids  2 suckling male lambs  dead day 2 
","3 billy goat kids 2 suckling male lambs dead day 2
"
"6(gesz2) 4(u) 7(disz) ab2 1(gesz2) {ansze}kunga2-nita2
","47 cows  6 male mules 
","47 cows 6 male mules
"
"ugula a-li2-ni-su zi-ga iti nig2-e-ga
","foreman Alinisu  booked out  month Nigega 
","foreman Alinisu booked out month Nigega
"
"sza3-bi-ta 1(u) ziz2 gur kiszib3 lu2-{d}utu ugula kikken
","therefrom  1 gur emmer under seal of LuUtu foremen of the mill 
","therefrom 1 gur emmer under seal of LuUtu foremen of the mill
"
"2(u) 2(disz) gu4 1(u) 8(disz) ab2
","22 oxen  18 cows 
","22 oxen 18 cows
"
"a-an-na-ti gaba-ta 3(disz) sila3 kasz 2(disz) sila3 ninda
","for Anati from the frontier  3 sila3 beer 2 sila3 bread 
","for Anati from the frontier 3 sila3 beer 2 sila3 bread
"
"u4 2(u) 6(disz)-kam ki ab-ba-sa6-ga-ta ba-zi
","the 26th day  from Abbasagas account booked out 
","26th day from Abbasagas account booked out
"
"1(disz) amar gu4 ga 1(disz) gukkal niga saga
","1 bull calf suckling  1 fattailed sheep grainfed fine quality 
","1 suckling bull calf 1 fattailed sheep
"
"pisan-dub-ba nig2 x ... 
","Basketoftablets  year Simurum was destroyed 
","Basketoftablets
"
"u4 hu-ur5-ti{ki}-ta i3-im-gen-na-a giri3 it-ra-ak-i3-li2 sukkal
","when he came from Hurti  Conveyer  Itrakili the messenger 
","when he came from Hurti Conveyer Itrakili the messenger
"
"szunigin 3(barig) 1(ban2) ninda ar3-ra zi-gi4 duh-hu-um
","total 3 barig 1 ban ground zigiduhhum ninda 
","total 3 barig 1 ban ground zigiduhhum
"
"2(disz) masz2 {d}en-ki 3(disz) udu {d}en-lil2
","2 billy goats for Enki  3 sheep for Enlil 
","2 billy goats for Enki 3 rams for Enlil
"
"mu-kux(DU) a-tu ur-{d}szul-gi-ra maszkim 1(disz) sila4 {d}en-lil2
","delivery of Atu  Urulgira was the responsible official  ne lamb for Enlil 
","delivery of Atu NannaGIRgal was enforcer 1 lamb for Enlil
"
"sze-bi 4(u) 4(asz) 4(barig) gur a-sza3 us2-sa dumu lugal
","its barley 44 gur 4 barig  field bordering on Prince 
","its barley 44 gur 4 barig field bordering on Prince
"
"... dumu usz-zi ... lu2-me-lam2 ... an-na-he-gal2
"," son of Uzi   Lumelam   Anaegal 
","Fish do not reject a companion My ugplanteater Enki whom shall I send to you
"
"2(asz) sze gur {d}nun-... szunigin 1(u) 1(asz) sze gur
","2 gur of barley  of Nun   total 11 gur of barley 
","2 gur of barley of Nun total 11 gur of barley
"
"5/6(disz) ma-na 2(disz) gin2 la2 igi-6(disz)-gal2 su3-he2
","56 mana 2 less 16 shekels sue 
","56 mana 2 shekels less 2 shekels alkali plant
"
"e {gesz}kiri6-gu-la-ta 3(disz) ninda gid2 5(disz) gin2-ta
","From the ditch of the great orchard  3 ninda length at 5 volumeshekels per ninda 
","ziDU ditch 3 ninda length at 5 volumeshekels per ninda
"
"iti-da be6-dam siki-bi 4(disz) ma-na mu-a be6-dam
","to be distributed monthly  their wool 4 mana  to be distributed yearly 
","to be distributed monthly their wool 4 mana to be distributed yearly
"
"... x {d}szul-pa-e3 4(barig) sze-gesz-i3 ugu2 ur-e11-e ba-a-gar
"," ulpae  4 barig sesame seeds in the debit account of Uree set 
","for ulpae 4 barig sesame seeds to the debit account set
"
"giri3 a-du sza3 a-pi4-sal4{ki} giri3 ku3-ga-ni
","via Adu  in Apisal  via Kugani 
","via Adu in Apisal via Kugani via Kugani
"
"szesz-a-ni engar 4(bur3) 2(esze3) 5(iku) 1/2(iku) 1/4(iku) GAN2 1(u)-ta
","eani the plowman  4 bur3 2 ee3 5 34 iku surface area 1 each 
","eani the plowman 4 bur3 2 ee3 5 34 iku surface area 1 each
"
"szunigin 4(iku) 1/2(iku) GAN2 a-sza3 bala-a 1(u) la2 1(asz@45)-ta
","total 4 12 iku surface area field of bala at 1 less 1 each 
","total 4 12 iku surface area field of bala at 1 less 1 each
"
"szunigin 1(ban2) 1(disz) sila3 kasz saga
","total 1 ban2 1 sila3 fine beer 
","total 1 ban2 1 sila3 fine beer
"
"la2-ia3 sze a-sza3 iri-ul lu2-dingir-ra dumu
","deficit of the barley of the field of Iriul  Ludingira the son of 
","deficit of the barley of the field of Iriul Ludingira the son of
"
"sza3-gal 1(asz) 4(barig) 7(disz) sila3
","fodder 1 gur 4 barig 7 sila3
","fodder 1 gur 4 barig 7 sila3
"
"a2-bi u4 5(u) 8(disz) 1/2(disz) 8(disz) sar al 4(disz) sar-ta
","its labor 58 12 days  8 sar of hoeing at 4 sar a day 
","its labor 58 12 days 8 sar of hoeing at 4 sar a day
"
"1(u) udu niga gu4-e-us2-sa e2-muhaldim mu kas4-ke4-ne-sze3
","1 sheep grainfed following the ox  for the kitchen on account of the messengers 
","1 sheep grainfed following the ox of the cook 1 sheep grainfed
"
"mu 1(disz)-a-kam i3-gal2 mu us2-sa ki-masz{ki} ba-hul
","a period of 1 year  are here  year following Kima was destroyed 
","a period of 1 year are here year following Kima was destroyed
"
"1(gesz2) 5(u) gur 1(asz) 4(ban2) gur-ta
","11 gur 1 gur 4 ban2 each 
","11 gur 1 gur 4 ban2 each
"
"zi ... nig2-ka9-ak a2 geme2 (x) ki (x)
","account of the labor of female laborers    account of the labor of female laborers   
","account of the labor of female laborers account of the labor of female laborers account of the labor of female laborers
"
"a2-bi u4 4(gesz2)-kam kiszib3 ur-e11-e 3(disz) gurusz u4 1(gesz2) 1(u)-sze3
","the corresponding production 24 days  Sealed tablet of Uree  3 workers male laborers 7 workdays each 
","the corresponding production 24 days Sealed tablet of Uree 3 workers male laborers 7 workdays each
"
"1(gesz2) 2(u) 8(disz) geme2 u4 1(disz)-sze3 kun-zi-da dub-la2-{d}utu-ka
","88 female laborer days at the weir of DublaUtu
","88 female laborer days at the weir of DublaUtu
"
"...{ki} i3-gal2 mu si-mu-ru-um{ki} lu-lu-bu{ki}
","are here  are here  year Simurum Lulubu 
","are here are here year Simurum Lulubu
"
"ki ...-{d}idim-ta e2-kiszib3-ba-sze3 ba-an-kux(KWU147)
","from idim  to the warehouse  brought 
","from idim to the warehouse brought
"
"tug2-bi 3(u) siki-bi 1(u) 1(asz) gu2 1(u) la2 1(disz) ma-na
","their textiles 3  its wool 11 talents 9 mana 
","their textiles 3 its wool 11 talents 9 mana
"
"1(disz) gurusz u4 4(disz)-sze3 kar umma{ki}-ta
","1 male laborer for 4 workdays  from Ummaharbor 
","1 male laborer for 4 workdays from Ummaharbor
"
"szunigin 1(u) 1(barig) 4(ban2) sze-gesz-i3 gur
","total 1 gur 1 barig 4 ban2 sesame seeds 
","total 1 gur 1 barig 4 ban2 sesame seeds
"
"a2-bi 6(disz) sila3-ta 1(disz) ma2-lah5 hun-ga2
","its labor 6 sila3 per day 1 barge captain hireling
","its labor 6 sila3 1 the hired men
"
"mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 e2 {d}szara2 umma{ki}-ka mu-du3
","year uSuen king of Ur the house of ara in Umma erected 
","year uSuen king of Ur erected the house of ara of Umma
"
"1(disz) udu niga {d}nin-sun2 1(disz) masz2-gal niga {d}lugal-banda3{da}
","1 sheep barleyfed for Ninsun  1 buck barleyfed for Lugalbanda 
","1 sheep barleyfed for Ninsun 1 buck barleyfed for Lugalbanda
"
"szunigin 1(bur3) GAN2 8(disz)-ta szunigin sze-bi 7(gesz2) 3(u) 9(asz) 4(barig) 4(ban2) gur
","total 1 bur3 surface area 8 each  total its barley 459 gur 4 barig 4 ban2 
","total 1 bur3 surface area 8 each total its barley 459 gur 4 barig 4 ban2
"
"sze-bi 5(asz) 3(barig) 7(disz) 1/2(disz) sila3 sila3 gur
","its barley 5 gur 3 barig 7 12 sila3 
","its barley 5 gur 3 barig 7 12 sila3
"
"a-sza3 za3-1(gesz'u) nigar{gar}-ki-du10 engar 1(u) 5(asz) gur
","field Zanr  Nigarkidu the plowman  15 gur 
","field Zanr Nigarkidu the plowman 15 gur
"
"iti amar-a-a-si sza3-nin-ga2 dub-sar
","month Amarayasi  aninga  scribe 
","month Amarayasi aninga scribe
"
"3(ban2) kasz dug dida saga 2(ban2) 7(disz) dug dida du 3(ban2)
","3 ban2 of beer the jug of finequality sweet wort containing 2 ban2 7 jugs of sweet wort normal quality containing 3 ban2 
","3 ban2 of beer the jug of finequality sweet wort containing 2 ban2 7 jugs of sweet wort normal quality containing 3 ban2
"
"iti ezem-me-ki-gal2 mu hu-uh2-nu-ri{ki} ba-hul
","month FestivalofMekigal  year unuri was destroyed 
","month Festival of Mekigal year unuri was destroyed
"
"sze-ba ... mu us2-sa si-mu-ru-um{ki} lu-lu-bu{ki} ba-hul
","and barley rations of  year after Simurum and Lulubu were destroyed
","barley rations year after Simurrum was destroyed
"
"1(bur3) 2(esze3) 4(iku) 1/2(iku) 1/4(iku) GAN2 1(u)-ta
","1 bur3 2 ee3 4 34 iku surface area at 1 each 
","1 bur3 2 ee3 4 34 iku surface area at 1 each
"
"i3-nun-bi 3(ban2) 5(disz) sila3 ga-ar3-bi 4(ban2) 7(disz) 1/2(disz) sila3
","their butter oil 3 ban2 5 sila3  their kak cheese 4 ban2 7 12 sila3 
","their butter oil 3 ban2 5 sila3 their kak cheese 4 ban2 7 12 sila3
"
"1(gesz'u) 2(gesz2) ku6 sza3-bar ku3-bi 2(disz) gin2
","72 gutted fish their silver 2 shekels  their silver 2 shekels 
","72 gutted fish their silver 2 shekels their silver 2 shekels
"
"a2 erin2-na-bi u4 1(gesz2) 2(u) 4(disz) 2/3(disz)
","its troops labor 84 23 days 
","its troops labor 84 23 days
"
"a-sza3 la2-tur 2(bur3) 1(esze3) 5(iku) GAN2 1(u)-ta
","field Latur  2 bur3 1 ee3 5 iku surface area at 1 each 
","field Latur 2 bur3 1 ee3 5 iku surface area at 1 each
"
"4(disz) kusz amar a-gar nu-gu7-a 1(disz) kusz szu-dulx(|URxA|) amar
","4 hides of calves not tanned  1 hide of calf yoke 
","4 hides of calves not tanned 1 hide of calf yokes
"
"zi-ga-am3 3(gesz'u) gurusz u4 1(disz)-sze3 a2 u4-tusz-a
","booked out  18 workdays male laborers  labor of satout days 
","booked out 18 workdays male laborers labor of satout days
"
"2(disz) udu niga 3(disz)-kam us2 2(disz) udu niga n-kam us2
","2 sheep barleyfed of 3rd grade 2 sheep barleyfed of th grade 
","2 sheep barleyfed of 3rd grade 2 sheep barleyfed of th grade
"
"1(disz) sa szum2 a-mur-{d}suen gaba-ta szunigin 2(disz) dug dida du 1(ban2)
","1 bundle onions  for AmurSuen from the frontier  total 2 jugs of common wort 1 ban2 barley per jug 
","1 bundle onions for AmurSuen from the frontier total 2 jugs of common wort 1 ban2 barley per jug
"
"pisan-dub-ba zi3 KA iri-a gar-ra
","Basketoftablets  flour   in the city set 
","Basketoftablets flour in the city set
"
"1(gesz2) gurusz u4 1(disz)-sze3 kiszib3 ab-ba-sa6-ga
","6 workdays male laborers  under seal of Abbasaga 
","6 workdays male laborers under seal of Abbasaga
"
"nu-banda3-gu4 ur-lugal szunigin 4(barig) 5(disz) sila3 sze sumun gur
","the oxenmanager of Urlugal  total 4 barig 5 ban2 1 sila3 old grain 
","the oxenmanager of Urlugal total 4 barig 5 ban2 1 sila3 old grain
"
"1(gesz2) 4(u) la2 1(disz) gu4 1(u) 1(disz) ab2
","1 less 1 oxen 11 cows
","1 less 1 oxen 1 cows
"
"1(asz) 4(barig) 3(ban2) 1/2(disz) sila3 gig
","1 gur 4 barig 3 ban2 12 sila3 wheat 
","and 1 gur 4 barig 3 ban2 12 sila3 wheat
"
"sag-apin erin2 ug3-IL2 e2 {d}nin-mar{ki}
","headplowmen  labortroops porters  house of Ninmar 
","headplowmen labortroops porters house of Ninmar
"
"lugal an-ub-da limmu2-ba i-me-a u3-...
","king of the four corners Imea U
","king of the four corners Imea U
"
"1(disz) gu4 niga 1(u) la2 1(disz) udu
","1 ox grainfed 1 less 1 sheep 
","1 ox grainfed 9 sheep 1 less 1 sheep
"
"iti 5(u) la2 1(disz) u4 2(u) 6(disz)-kam
","months 5 less 1  26th day 
","months 5 less 1 26th day
"
"szunigin 1(bur'u) 2(bur3) GAN2 szunigin sze-bi 3(gesz2) 6(asz) 4(barig) 4(ban2) gur
","total 12 bur3 field surface  total its barley 186 4 barig 4 ban2 
","total 12 bur3 field area total its barley 186 gur 4 barig 4 ban2
"
"mu {d}gu-za {d}en-lil2-la2 ba-dim2 4(disz)
","year The throne of Enlil was fashioned  total 4 
","year The throne of Enlil was fashioned total 4
"
"1(disz) ab2 ga (x) 1(disz) gu4 ga (x)
","1 heifer suckling  1 ox suckling 
","1 heifer calf suckling 1 bull calf suckling
"
"u4 1(disz)-sze3 sze bala-a sze ma2-a si-ga
","for 1 day grain transferred grain onto a barge loaded 
","for 1 workday barley transferred and barley in the barge loaded
"
"u3 mu {d}szu-{d}suen lugal-e na-ru2-a-mah mu-du3
","and  year Suen the king Greatstele erected 
","and year Suen the king Greatstele erected
"
"lu2-mar-sa-me sze ur5-ra su-su szunigin2 4(asz) guru7 7(gesz2) 4(u) 6(asz) 1(barig) 5(ban2) la2 1/2(disz) sila3 gur
","for the people of the shipyard it is barley interestbearing to be replaced total total 14866 gur 1 barig 5 ban2 less 12 sila3
","for the people of the shipyard it is barley interestbearing to be replaced total total 14866 gur 1 barig 5 ban2 less 12 sila3
"
"1(disz) gu4 niga {d}szul-gi 7(disz) gu4 niga
","1 ox grainfed for hulgi  7 oxen grainfed 
","1 ox grainfed for hulgi 7 oxen grainfed
"
"duh-bi bala-ka iti sze-sag11-ku5 u3 iti diri sze-sag11-ku5
","its bran of the bala  month Harvest and month extra Harvest 
","its bran of the bala month Harvest and extra Harvest
"
"d1. 5(disz) kusz3 d2. 1(u) kusz3
","5 cubits  1 cubits 
","5 cubits 1 cubits
"
"1(disz) masz2 zi-ge nu-banda3 1(disz) masz2 me-a-lam2 nu-banda3
","1 male goat Zige the manager  1 male goat Mealam2 the manager 
","1 billy goat Nannaludu 1 Imidil
"
"la2-ia3 su-ga x ... dumu KA-...
","deficit restored by  son of  
","deficit repaid son of wailing
"
"1(disz) ab2 7(disz) udu niga 1(disz) ud5 niga
","1 cow 7 grainfed sheep 1 grainfed doe goat
","1 cow 7 grainfed sheep 1 grainfed doe goat
"
"ki szesz-kal-la dumu pu3-lu5-lu5-ta 1(u) 3(asz) gur
","from ekala son of Pululu 13 gur
","from ekala son of Pululu 13 gur
"
"3(disz) sila4 1(u) 7(disz) masz2 sza3 uri5{ki}-ma
","For three lambs and  17 male goats  in Ur 
","For three lambs and 17 male goats in Ur
"
"si-i3-tum mu si-ma-num2{ki} ba-hul 3(u) 7(disz) geme2 3(ban2)
","remaining deficit of the year Simanum was destroyed  37 female workers receiving 3 ban of barley per month 
","remaining deficit of the year Simanum was destroyed 37 female laborers 3 ban2 monthly rations each
"
"a-da gub-ba a-sza3 a-u2-da-gu-la a-sza3 a-u2-da-tur u3 a-sza3 nun-na
","irrigation work in the Audagula field in the Audatur field and in the Prince field
","irrigation work in the Audagula field in the Audatur field and in the Prince field
"
"mu us2-sa a-ra2 3(disz)-kam si-mu-ru-um{ki} ba-hul
","year following For the 3rd time Simurrum was destroyed 
","year following For the 3rd time Simurrum was destroyed
"
"1(u) 6(disz) gu4 1(disz) gu4 mar-tu
","16 oxen  1  Amorite 
","16 oxen 1 Amorite
"
"1(u) 8(asz) 3(barig) 1(ban2) 4(disz) sila3 zi3 sig15 gur
","18 gur 3 barig 1 ban 4 sila sigflour 
","18 gur 3 barig 1 ban 4 sila sigflour
"
"1(disz) udu siskur2 ki-su7 a-sza3 GAN2-mah
","1 sheep  for the threshingfloor sacrifice of the field GANma
","1 sheep for the threshingfloor sacrifice of the field GANma
"
