,input,actual,predicted
1677,"dumu ur-sag nimgir-ra
","dem Sohn des Ursag des Heroldes 
","The son that stretches out the path
"
1678,"uru2 sza3-ba uru2 sza3-ab hu-mu-da-an-gul a uru2-gu10 ga-am3-du11
","Inside the city the inner city was destroyed before me  I shall cry Alas my city 
","In the middle of the city was destroyed before me I shall say Alas my city
"
1679,"ilx(LAK500)-ma-ni
","he dug 
","apple
"
1680,"a-ga-de3-ka-sze3
","of Agade 
","of Agade
"
1681,"1(bur3) 1(esze3) 1(iku) 1/4(iku) GAN2 1(u)-ta
","1 bur3 1 ee3 1 14 iku surface area at 1 each 
","1 bur3 1 ee3 1 14 iku surface area at 1 each
"
1682,"1(disz) RI = %a ...
","62 lines in this column
","62 lines in this column
"
1683,"tug2 |PU3.KA|-ka
","textile for Pukaka 
","They established the garment of Inab the storm
"
1684,"szunigin 2(ban2) 4(disz) sila3 kasz szunigin 1(ban2) 5(disz) sila3 ninda
","total 2 ban2 4 sila3 beer total 1 ban2 5 sila3 bread 
","total 2 ban2 4 sila3 beer total 1 ban2 5 sila3 bread
"
1685,"1(disz) ur-{d}suen enku
","1 UrSuen fishtither
","1 UrSuen
"
1686,"me zi me e3 szu x ... x ... x x ...
","Adorningtouching the true me the emerging me broadly 
","Cloaked in the many me
"
1687,"1(disz) ...
","1  
","1
"
1688,"uru2 zi na-ag2 gal-zu in-tar-ra-am3 bala-zu in-su3-u4-dam
","True city he has decreed your great fate and made your reign long 
","O city decreed a great fate and made your reign long
"
1689,"ki {d}szara2-kam-ta
","from arakam
","from arakam
"
1690,"u3 {gesz}kiri6 mar-sa
","and orchards of the shipyard 
","xxx
"
1691,"ba-gara2
","Bagara 
","for the Bagara
"
1692,"en nu-un-ti-la-am3
","and no enpriestess had lived therein
","The enpriestess of the sky
"
1693,"al-me-a
","having been 
","xxx
"
1694,"{d}nin-gir2-su2-ka-ke4
","of Ningirsu 
","by Ningirsu
"
1695,"szu-GIR2@g-bi 1(barig) 4(ban2) 2(disz) 2/3(disz) sila3
","its uGIR 1 barig 4 ban2 2 23 sila3 
","51 gur 1 barig 4 ban2 2 23 sila3
"
1696,"mete mu n
","a fitting n years  
","a fitting 1 years
"
1697,"{gesz}e-lam-ma-kum
","and elamakkum wood
","apple
"
1698,"ugu2 kas4 ba-a-gar
","on the debit account of Kas set 
","xxx
"
1699,"iri-bi-sze3 he2-bi2-dab5
","and I had them taken back to their cities
","I made hold to fair judical procedures
"
1700,"ga2-e ki-gar-ra-bi-sze3 kur-sze3 ba-ab-szum2-mu-de3
","I as a substitute am to be given to the netherworld 
","I want to bring it to she is to give an ambush
"
1701,"dumu ur-{d}ha-ia3
","son of UrHaya
","son of UrHaya
"
1702,"{d}nergal
","To Nergal 
","for Nergal
"
1703,"dub-sar
","the scribe
","scribe
"
1704,"{d}nin-lil2-la2-sze3
","and Ninlil
","apple
"
1705,"ur-sag kal-ga
","the mighty warrior 
","the mighty warrior
"
1706,"n 1(u) ...
","1  
","it has
"
1707,"iri{ki} du3-a ki nam tar-re-da
","the place of determining fate 
","when the city where the fates are determined
"
1708,"2(disz) lugal-{gesz}gigir-re
","2 Lugalgigire 
","2 Lugalgigire
"
1709,"u4 8(disz)-sze3 e2-duru5 uri3-ru2-a-ta
","for 8 workdays from Uriruvillage 
","In the hideout house for you
"
1710,"2(disz) gu4 niga {d}inanna
","2 oxen grainfed Inanna 
","2 oxen grainfed Inanna
"
1711,"nu-mu-u3-da-gub-a-bi ki-ba ga-am3-mi-gaz
","whoever did not stand with me I shall grind up on the spot 
","that I shall say on
"
1712,"dumu sa2-ba
","son of Saba 
","son of Snlei
"
1713,"i3-nun-bi 3(ban2)
","their butter oil 3 ban2 
","their butter oil 3 ban2
"
1714,"nin9-a-ni inim in-na-an-du11-ga
","In the matter which his sister had told him about 
","Her sister raised her up for the young person
"
1715,"mu-gu10
","They exalted my name in the site where the endu songs are sung 
","My lines are the lines
"
1716,"ku6-gu10 kun-bi2{ku6}-gu10 he2-ga-me-da-an-ku4-ku4
","My fish my gubi eel may it too enter with you 
","My fish my gubi eel may it too enter with you
"
1717,"e2 {d}suen
","of the temple of the god Sin 
","house of Suen
"
1718,"inim-sze3 im-ma-dab5
","he made receptive to messages 
","I want to bring the young woman
"
1719,"{d}nin-gir2-su2-ke4 URU-KA-gi-na-da e-da-du11-ga-a szu nu-di3-ni-bala-e
","The object named Ningirsu cannot alter what he declared concerning Urukagina 
","57 lines
"
1720,"{d}nin-girimx(|A.BU.HA.DU|)
","by Ningirim 
","of Ningirim
"
1721,"szu12 mu-na-ra2
","prayed to him
","to rebuild it
"
1722,"inim in-na-sa6-sa6
","I spoke pleasing words 
","to make the words proliferate
"
1723,"ur-sag eridu{ki}-sze3 du-a-ni
","that when the warrior is going to Eridu
","and hero of Eridu and dark gold
"
1724,"su-a-su-a-mu-ne
","and all my relatives
","apple
"
1725,"n gin2 uruda
","n shekels of copper 
","n shekels of copper
"
1726,"sza3 gu2-be2 nam-gi4
","The heart did it not return to its banks 
","The heart did it not return to its banks
"
1727,"ki-be2 mu-na-gi4
","he restored to its previous condition 
","and restored for him
"
1728,"1(disz) ... {d}inanna
","1  for Inanna 
","1 Inanna
"
1729,"sza3-bi ha-ma-pa3-de3
","may she make its meaning visible for me 
","may she make its meaning visible for me
"
1730,"szu mu-na-ni-tag
","he decorated it for him 
","he decorated it for him
"
1731,"x-DU
","outer courtyard 
","PN
"
1732,"ba-ri2 6(disz) sila3 im-tur
","the barig reduced by 6 sila3 
","So that the warehouses would be provisioned
"
1733,"agrig-ge
","the agrig 
","apple
"
1734,"{d}en-ki-ke4 {i7}idigna {i7}buranun-na asz2 bi2-in-bala-a-ba
","after Enki had altered the course of the Tigris and Euphrates 
","Enki at the Tigris and Euphrates
"
1735,"an-ta-sur-ra ga2-kam
","The Antasura is mine 
","Upon the standard
"
1736,"a-ab-ba
","from the sea 
","Aabba
"
1737,"ensi2
","ruler 
","ruler
"
1738,"nig2-ka9-ak
","xxx 
","accounts
"
1739,"im-ma-ta-an-gar
","he set them to work
","apple
"
1740,"sza3 mu-ba-ka
","In the middle of that year 
","In the middle of that year
"
1741,"nig2-tuku nig2-al-di
","Wealth to be demanded 
","To have both wealth and desire for more is a taboo of ones god
"
1742,"gur11-gur11-ra-a
","xxx 
","xxx
"
1743,"umma{ki}
","Umma 
","of Umma
"
1744,"uri5{ki}-ki-du10
","Urkidu
","Urkidu
"
1745,"iti a2-ki-ti
","month Akitu 
","month Akitu
"
1746,"{d}nin-gir2-su2-ka
","of Ningirsu 
","of Ningirsu
"
1747,"nin a-izi mu2-a
","the lady grown up  
","the lady grown up
"
1748,"lugal sipa sag-ge6-ga-ke4
","the king and shepherd of the BlackHeaded Folk
","king of the blackheaded people
"
1749,"ama lagasz{ki}-ra
","the mother of Laga 
","mother of Lagash
"
1750,"eridu{ki}-ga ...
","In Eridu  
","In Eridu
"
1751,"1(u) 2(disz) udu u2 bar-gal2
","12 sheep grassfed with fleece 
","12 sheep grassfed with fleece
"
1752,"... {gesz}banszurx(|GISZGALxGU|)-ga2 ninda kum2 ninda te-en-e si um-ma-ni-...
","After hot and cold foods are set in order on my table 
","There will be no sons of heaven and earth
"
1753,"{tug2}bar-dul5 sal-la
","fine fullbody garment 
","fine fullbody garment
"
1754,"nam-ti-la-ni-sze3
","and for his life
","for his life
"
1755,"ki-tusz nam-en-na-ga2
","In my residence of enship 
","In the most husband of Inab
"
1756,"1(asz) 4(barig) zu2-lum gur 1(ban2) 5(disz) sila3-ta
","1 gur 4 barig dates 15 sila3 each
","1 gur 4 barig 1 ban2 dates at 1 sila3 each
"
1757,"munus a mu-ru
","to the Woman dedicate it this vessel 
","dedicate it this vessel
"
1758,"lugal dingir-re-ne-ra
","king of the gods 
","and king of the gods
"
1759,"bad3 gal hur-sag il2-la-gin7 szu nu-tu-tu
","The great city wall raised up like a mountain range which cannot be opposed  
","The great city wall raised up no more
"
1760,"1(disz) udu niga saga x
","1 sheep grainfed fine quality 
","1 sheep grainfed fine quality
"
1761,"im-mi-ra
","did smite 
","57 lines
"
1762,"5(disz) sila3 esza dub-dub-de3
","5 sila3 ea  
","5 sila3 ea
"
1763,"dub gid2-da
","xxx 
","longtablets
"
1764,"gurusz-ra e2 sumun-na-gin7 {uruda}ha-zi-in szu ga-ba-szi-in-ti
","Saying I shall take the ax to the youth like a dilapidated house 
","He approached the lad and sapped his sexual energies
"
1765,"mu {d}amar-{d}suen lugal
","year AmarSuen is king 
","xxx
"
1766,"{d}utu lugal igi-ni-sze3 ba-gen
","Utu marches before the king 
","Utu went before the king before Utu
"
1767,"in-du3-a
","was built 
","built
"
1768,"ezem sze-sag11-ku5
","festival Harvest 
","xxx
"
1769,"mu si-ma-num2{ki} ba-hul
","year Simanum was destroyed  
","xxx
"
1770,"... {d}ga-sza-an-an-na-sze3 ...
","I was bringing it towards the flowering orchard of Inanna 
","In order to admiresee the grain goddess Ezina of lordship
"
1771,"nesag kur-ra-da si sza-mu-na-ni-ib-sa2-asz
","They prepared correctly for him the firstfruit offerings of the land 
","The nesag offering ships of his birth parents
"
1772,"{na4}nunuz-tab-ba nig2 TUR-TUR ...
","The man removed the necklace of tiny ovoid beads upon her chest 
","The apple and small feet
"
1773,"mu {d}gu-za {d}en-lil2-la2 ba-dim2
","year The throne of Enlil was fashioned 
","xxx
"
1774,"{d}utu
","of Utu 
","For Utu
"
1775,"uri5{ki}
","Ur 
","Ur
"
1776,"i3-gal2
","are here 
","xxx
"
1777,"inim an-na im-mi-ib2-u3-u3-dam
","it is a dragon hissing in the mountain 
","In order to change the word of heaven and earth
"
1778,"e2 gu-la
","great house 
","big house
"
1779,"ma-ri2{ki}-a AN-BU
","In Mari ANBU 
","The splitting asword gone into the mouth
"
1780,"masz2-lulim-e ga zi gu7-a
","and fed fine milk by the hinds 
","fed fine milk
"
1781,"b. 5(disz) kusz3 dagal
","5 cubits the width 
","5 cubits the width
"
1782,"i-{d}utu u2-gu he2-ni-de2
","and complaint I made disappear
","May she cause for complaint from my city
"
1783,"{d}in-nin ag2 ze2-eb-be2-da-mu me al nu-di-di nig2-mu mu-ra-an-gar = %a {d}min ur-tu4 ka-bit-tu4 pa-ra-as, la e-re-szi mim-me-e-a a-szim-ki
","Lady I have established for you my weighty commands divine powers that should not be demanded by anyone 
","Lady my important decisions divine powers which could not be asked for by anyone else
"
1784,"nu-banda3
","manager 
","nubanda
"
1785,"ARAD2 su-mu-el3
","servant of SmEl 
","servant of SmEl
"
1786,"nu-{gesz}kiri6-ke4-ne
","of the orchardists 
","xxx
"
1787,"...-ni-in-tu-u4-de3-en
"," bore meyou 
","apple
"
1788,"ur-sag {d}nin-urta sza3-bi ba-da-an-szub
","The hero Ninurta fell into it with the turtle 
","Hero Ninurta the hero of Ninurta was who gave birth to the order
"
1789,"lugal kal-ga
","the mighty king 
","strong king
"
1790,"e2-an-na-tum2
","Eannatum 
","Eannatum
"
1791,"a-sza3 {d}nin-ur4-ra
","field of Ninura 
","field Ninura
"
1792,"mu n i3-ak
"," years he ruled 
","n years he ruled
"
1793,"si-ma-at-{d}inanna
","SimatEtar  
","SimatItar
"
1794,"lu2 kasx(DU){kas}-e szu tak4-ma-ab
","have a courier send some to me 
","The person that lets loose his hand for you
"
1795,"{d}szul-gi-iri-mu
","did ulgiirimu 
","ulgiirimu
"
1796,"zu-ma-ku-um engar
","Zumakum the ploughman 
","Kalla the plowman
"
1797,"szunigin 1(disz) az
","total 1 bear
","total 1 bear
"
1798,"mu en-unu6-gal {d}inanna ba-hun
","Lukalla 
","year Enunugal of Inanna was installed
"
1799,"balag ki-ag2-e uszumgal kalam-ma
","With his beloved harp dragon of the land 
","and that Ningirsus beloved harp the DragonoftheLand
"
1800,"ZU RI
","otter 
","otter
"
1801,"ki-tusz ku3 {d}nanna tir szim {gesz}erin-na-gin7 ir-si-im-bi ba-gul
","The fragrance of the sacred seat of Nanna formerly like a fragrant cedar grove was destroyed 
","The holy dwelling of Nanna was like a juniper tree
"
1802,"ki ab-ba-sa6-ga-ta
","from Abbasaga 
","from Abbasaga
"
1803,"... x-esz hasz4 gal-a-ni mu-un-hur
","The place unseen when with a man she scratched her inner thigh 
","The bird its thighs
"
1804,"nita2 kal-ga
","the strong man 
","the strong man
"
1805,"ba-sa6-ga
","from Basaga 
","Baaga
"
1806,"nam-ti-la-ni-sze3
","for hisher life
","for his life
"
1807,"...-ga
","Lord  
","The lord also made manifest an ancient thing
"
1808,"1(asz) gu2-sze3 1(u) 7(disz) sze gur-ta
","for 1 talent 17 gur of barley each
","for 1 talent 1 gur each
"
1809,"ugula lugal-iti-da
","Overseer LugalItida 
","foreman Lugalitida
"
1810,"i3-gal2
","xxx 
","xxx
"
1811,"{d}nanna-kam
","scribe 
","for Nannakam
"
1812,"sag-nig2-gur11-ra-kam
","are the debits 
","are the debit
"
1813,"dam e2-x-ke4
","wife of E 
","for the spouse
"
1814,"... ni2-te-na lu2-erim2-e ...
","So that the enemy seizes its shepherd in his very own palace 
","The enemy dwelled in his own temple
"
1815,"u4 1(u) 7(disz)-kam
","17th day 
","17th day
"
1816,"sze gesz e3-a
","barley threshed 
","xxx
"
1817,"giri3 lugal-inim-gi-na
","via Lugalinimgina 
","via Lugalinimgina
"
1818,"e2-a silim 2(asz)-nam nam-mi-se3
","For the second time did he not give a blessing in the house 
","For the fourth time did he not give a blessing in the house
"
1819,"en-nu bad3
","Watch of the wall
","Watch of the wall
"
1820,"2(asz) sipa
","2 shepherd 
","2 shepherd
"
1821,"e2 du3 {d}nin-gir2-su
","Ningirsus temple builder 
","xxx
"
1822,"a-da-a
","to Adaya 
","is your servant
"
1823,"iri-ta nu-e3
","out of the city not going
","out of the city not going
"
1824,"dingir zi me-a tum2-ma gal-bi du11-ga-...
","True deity greatly suitable for the cosmic powers your utterance is supreme 
","The true god where the destiny grows for you
"
1825,"ur-{d}szul-pa-e3
","Urupae
","Urulpae
"
1826,"nam-ti-la-ni-sze3
","for his life 
","for his life
"
1827,"mex(|ME.LAK526|)
","let battle 
","apple
"
1828,"... ag2-ga2-ni giri3 ...
"," took a different path away from his beloved  
","Numuda took a different path away from his city his beloved dwelling
"
1829,"hu-mu-dim2
","I fashioned
","I fashioned
"
1830,"{d}ba-ba6
","Baba 
","For Baba
"
1831,"lu2-u18-lu nig2 dingir-ra-a-ne2 sza3-dab ga2-ga2-bi mu-un-da-ak amalu-bi za3-sze3 ba-an-di-ni-ib2-gar-ra = %a a-me-lu sza2 dingir-szu2 szab-sisz ik-tam-lu-sza2 u {d}isz-tar-szu2 iq-t,i-nu-szu2
","a human being whose god has gotten very angry with him whose goddess has become souredjealous towards him 
","The noise that used to live like the sons of Inab
"
1832,"{d}asz-im2-babbar2-re
","for Aimbabbar
","His king Aimbabbar
"
1833,"1(N01@f) , kasz sag
","1 measure high quality beer 
","1 measure high quality beer
"
1834,"ensi2
","ruler 
","ruler
"
1835,"sa12-rig9
","he presented it this object 
","presented it this statue
"
1836,"esz3 gir2-su mu-du3
","The shrine Girsu he built 
","The shrine Girsu
"
1837,"sza3 sag3 a-nir-ra a-ba-a i-ni-in-gar x x x IM ... x
","Who brought about such worry and lamenting and  
","Weeping lamentation distress and ala drums in those streets
"
1838,"lu2-... sza3-ga-ni al-...
","Like one who yokes a plow his heart is pleasedrejoicing 
","He is eating food he is drinking water
"
1839,"sza3 mu-na-hun-ge26-e
","calmed his heart 
","Giving birth to the poplar heart
"
1840,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1841,"i3-gal2
","xxx 
","xxx
"
1842,"u3 sze gu4 udu gu7-a
","xxx 
","xxx
"
1843,"i-di3-er3-ra lu2 azlag2
","IddinErra the fuller 
","xxx
"
1844,"a mu-na-ru
","he dedicated it this mace head 
","dedicated this to him
"
1845,"dumu-ni-me
","being her children 
","being her children
"
1846,"e2-tur3-e ba-te ga-ra-bi im-ta-kum-kum
","He approached the stall and smashes its cheesepot 
","He approached the lad and sapped his sexual energies
"
1847,"kusz pirig-pirig
","With lions skins 
","gleaming leather
"
1848,"... NI kesz2-kesz2 lu2 nu-mu-...
"," no one  
","no one is suitable for you
"
1849,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
1850,"he2-zu
","may you know 
","may you know
"
1851,"b. 3(disz) kusz3 dagal
","3 cubits the width 
","3 cubits the width
"
1852,"{na4}e-le-li gesztu2 tuku kur dux(LU2) mu2-a-ba ni2-gu10 he2-me-ni-ri
","eleli stone possessed of wisdom when the mountain sows discord I shall cast down my aura upon you 
","eleli stone who pays attention to the mountain sowed discord I looked at its chick
"
1853,"mu en {d}inanna masz-e i3-pa3
","xxx 
","xxx
"
1854,"in-da-su2 ...
","Indasu 
","Indasu
"
1855,"ur-sag {d}en-lil2-la2-ke4
","the hero of Enlil 
","the hero of Enlil
"
1856,"dingir-ra-ni
","Upon the standard 
","his personal god
"
1857,"{d}nin-hur-sag ama dingir-re-ne-ra
","For Ninhursaga the mother of the gods 
","and to the mother of the gods
"
1858,"{d}nin-dar-a
","For Nindara 
","To Nindara
"
1859,"nam-ti
","for the life 
","for the life
"
1860,"...-ta
","For the god Ningizida
","from
"
1861,"munus sa6-ga
","pretty woman 
","the beautiful woman
"
1862,"gur-bi 1(disz)-am3
","its gurdub basket 1 
","The barley was to eat
"
1863,"giri3 ba-zi
","xxx 
","via Bazi
"
1864,"e2-ki sanga {d}nin-mar{ki}
","Eki temple household manager of Ninmar 
","Eki
"
1865,"... nam am3-mi-ib2-...
","Ninurta the son of Enlil was decreeing a fate 
","The the son of Enki
"
1866,"{d}szu-{d}suen
","Suen
","Suen
"
1867,"1(disz) gu4 niga {d}nin-hur-sag nu-banda3
","xxx 
","1 ox grainfed oforf Ninursag
"
1868,"abul iri-na-ke4 gal2 he2-eb2-tak4-tak4
","May the gates of his city stand open
","As she was entering the news and tremble
"
1869,"zi-ga bala-a sza3 nibru{ki} u3 sza3 uri5{ki}-ma
","bookedouts of the bala obligation in Nippur and in Ur 
","booked out of the bala obligation of Nippur
"
1870,"ARAD2-zu
","is your servant 
","is your servant
"
1871,"u4 dam-a-ni
","however long his wife
","and his wife
"
1872,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
1873,"e2 bahar3-a gub-ba
","stationed in the pottery factory 
","Draw near house at the house stationed
"
1874,"a2 u4-buru14-ka-ne-ne 3(ban2)-ta
","their harvesttime wages will be 3 ban2 each
","The One Chosen by Name by 3 ban2
"
1875,"e2-babbar2-ra
","The Ebabbar 
","the Ebabbar shrine
"
1876,"ku3 sza3-ga2 a-sa6-ga
","and The silver that will satisfy me 
","and The silver that will satisfy me
"
1877,"szunigin 5(disz) sila3 kasz saga szunigin 5(disz) sila3 kasz
","total 5 sila3 fine beer total 5 sila3 beer
","total 5 sila3 fine beer total 5 sila3 beer
"
1878,"{gesz}ig {gesz}erin
","a cedar door 
","a door jamb
"
1879,"na-ra-am-i3-li2
","Naramil 
","of Naramil
"
1880,"ARAD2-da-ni-ir
","his servant 
","his servant
"
1881,"en ki-ag2 {d}nanna
","beloved enpriestess of Nanna 
","and beloved enpriestess of Nanna
"
1882,"gu3 zi e-na-de2-a
","spoke truly to him 
","had spoken truly
"
1883,"a-ga-de3{ki} dim2-ma-bi ba-ra-e3
","good sense left Agade 
","Agade left the fate of Agade
"
1884,"gu3-de2-a
","Gudea 
","Gudea
"
1885,"su-la2 masz kur
","dried cut of a mountain kid 
","dried cut of a mountain kid
"
1886,"e2 {d}ga2-tum3-du10
","The temple of Gatumdu 
","xxx
"
1887,"2(barig) lu2-bala-sa6-ga
","2 barig Lubalasaga
","2 barig Lubalaaga
"
1888,"i3-gal2
","are here 
","xxx
"
1889,"szul {d}utu-u3 esz3 e2-babbar2-ra mu-na-ni-ib2-ku4-ku4
","up to the young man Utu into the temple Ebabbar brings 
","up to the young man about the lying shrine
"
1890,"... nu-di-de3
","So that the eellu the song of the going oxen is not sung in the plain 
","So that the eellu the song
"
1891,"ki {gesz}bun-na-ka x mu-na-ab-til-le-ne
"," brings to an end for  at the site of the banquet 
","They are indeed the solution of the site of a banquet
"
1892,"nig2-na-me-gu10-u8 la-ba-an-...
","One cannot slanderalter anything of mine 
","that the enemy land
"
1893,"sza3 gir2-su{ki}
","in Girsu 
","in Girsu
"
1894,"e2-|GESZ.PI.TUG2.AN.NISABA| e2 gesztu2 ... KA ... ba-szu2
","In the House of Nisabas Wisdom the house of understanding  covered over  
","lay before it like heroes smitten by heroes
"
1895,"1(disz) zi3-IL2 ki lugal-inim-gi
","1 flour carrier with Kugalinimgi 
","1 flour carrier at the place of Ugududu
"
1896,"1(u) ($ blank space $) 2(disz)
","3 mana 1 12 shekel 15 grains silver 
","total 12
"
1897,"... ugax(|U2.NISABA.GA|)-am3 ki ag2 an-na ...
"," is a raven beloved of An  
","Do not lay down at the side of An
"
1898,"{d}utu-ma-an-szum2
","for Utumanum 
","apple
"
1899,"dim2-ma lu2-u18-lu |GA2xGAR| ur-ra |SIG7.ALAN| {ugu}ugu4-bi
","with human intelligence but canine instincts and monkeys features  
","The impact forced its way to the path
"
1900,"ki-bala hul gig {d}nanna-za-ke4-esz an-ne2 ha-ba-ab-szum2-mu
","The rebel land because of hatred of your Nannain the manner of one hated by your Nanna may An hand it over 
","In the rebel land may An not change the praised
"
1901,"GUR8 i3-gu7
","I shall exploit as an interestbearing loan 
","I shall exploit as an interestbearing loan
"
1902,"...-na-asz-am3 ... mu-da-ab-ak
","Why should it be refused 
","So that the warehouses would be provisioned
"
1903,"1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta
","1 bur3 4 14 iku surface area at 8 each 
","1 bur3 4 14 iku surface area at 8 each
"
1904,"nin-a-ni
","his sister 
","his mistress
"
1905,"lugal ki-en-gi ki-uri-ke4
","king of Sumer and Akkad 
","and king of Sumer and Akkad
"
1906,"u4 {d}nanna
","when Nanna 
","when Nanna
"
1907,"ki-szum2-ma
","the garlic plots 
","the garlic plots
"
1908,"arah4
","storehouse 
","In the storehouse of humanity I fill up with a mountain
"
1909,"bala tusz-a
","having sat out the bala
","having sat out of bala
"
1910,"1(u) 3(disz) masz2-gal niga
","13 fullgrown billy goats barleyfed 
","13 grainfed billy goats
"
1911,"sa2-du11 dah-ha {d}szul-gi
","regular offerings additional of ulgi 
","regular rations of ulgi
"
1912,"sugx(|SUD.PA.EL|) enkux(ZAG)
","Nisaba 
","Nisaba
"
1913,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1914,"abul uri2{ki}-ma abul giri17-zal-la
","When you enter into the gate of Ur the gate of rejoicing 
","Gate of Ur she shouted in Ur
"
1915,"ARAD2-zu
","is your servant
","is your servant
"
1916,"nig2-{d}ba-ba6
","for NigBaba 
","NigBaba
"
1917,"lugal-a-ni
","his master 
","his master
"
1918,"sahar-bi 6(disz) 2/3(disz) sar
","its soil 6 23 sar 
","its soil 6 23 sar
"
1919,"x-x-am3
","the wife of a man 
","which was
"
1920,"iti dal
","month Flight 
","month Flight
"
1921,"geszbun2 {d}szul-gi-ra
","cultic meal of ulgi 
","brought forth ulgi
"
1922,"gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3
","Purified silver is being brought down for Gudea from its mountain 
","Gudea purified with silver
"
1923,"udu
","xxx 
","sheep
"
1924,"ur-ku3-nun-na
","did Urkununa 
","Urkununa
"
1925,"...-{d}utu-ka-sze3
","to the  of Utu 
","apple
"
1926,"e2-an-na-tum2-e
","Eannatum 
","By Eannatum
"
1927,"a mu-na-ru
","she dedicated it this mace head to him 
","dedicated this to him
"
1928,"x-zi x-da ul-x-...
","A king whom Enlil from within his Ekur temple
","In order to raise his neck for the herd
"
1929,"tir szum2-bad3-x
","forest umbad 
","I want to polish the spear
"
1930,"kun-zi-da a-gi-ze2-a-ka gub-ba
","stationed at the reservoir of Agizea 
","to Kigal
"
1931,"a-gu-a sukkal gaba-asz
","Agua the messenger sent to Persia 
","for Agua to frontier
"
1932,"nig2-mu10-us2-sa2
","the wedding gifts
","and the betrothal gift
"
1933,"x DU ...
","The loyalhearted  
","DU
"
1934,"{d}li9-si4-na iri{ki}-ni ba-da-an-szub bar-ta ba-da-an-tusz
","Lisin abandoned her city and dwelled outside of it 
","Lisin went out from her city and dwelled outside
"
1935,"szunigin 2(ban2) 3(disz) sila3 ninda szunigin 7(disz) gin2 i3
","total 2 ban2 3 sila3 bread total 7 shekels oil 
","total 2 ban2 3 sila3 bread total 7 shekels oil
"
1936,"bir5-lu2-A
","a kind of flying insect 
","apple
"
1937,"su3-ra2 u4 ul-li2-a-asz
","far away and to the remote future 
","for distant days
"
1938,"1(barig) ur-{d}dumu-zi-da dumu x-x
","1 barig UrDumuzida son of  
","1 barig UrDumuzida son of UrDumuzida
"
1939,"lugal an-ub-da limmu2-ba
","king of the four corners
","king of the four corners
"
1940,"kiszib3 ur-...
","under seal of Ur 
","under seal of Ur
"
1941,"{d}szul-gi lugal-zu na-ab-be2-a
","thus says Shulgi your king 
","Thus says Nannakiag the city commander your servant
"
1942,"inim a-ba-an-da-an-gi4
","has revoked
","to make the words proliferate
"
1943,"{im}szu-rin-na kalam-ma-ka nig2-tab ak-a-ba
","When the firebox was prepared in the ovens of the land 
","when the ovens of the Land had been made to work
"
1944,"szu ba-ti
","receive 
","received
"
1945,"i3-il2-am6
","were delivered to the palace 
","apple
"
1946,"u3 szu ba-an-la2-la2
","or she has become paralyzed
","and noses were piled up to the path
"
1947,"mu en {d}inanna ba-hun
","year The enpriest of Inanna was hired 
","xxx
"
1948,"lu2 esz2-gid2 he2
","whether he be a surveyor 
","The surveyor
"
1949,"nam-ti {d}suen-ga-mi-il
","for the life of Sngmil 
","life of Sngmil
"
1950,"{d}nanna
","for Nanna 
","For Nanna
"
1951,"ba-zi
","booked out 
","booked out
"
1952,"1(u) la2 1(disz) u8 7(disz) masz2 6(disz) ud5
","9 ewes 7 hegoats 6 shegoats 
","1 less 1 nanny goats
"
1953,"2(esze3) 5(iku) 1/2(iku) GAN2 1(u) la2 1/2(disz)-ta
","2 ee3 5 12 iku surface area at 1 less 12 each 
","2 ee3 5 12 iku surface area at 1 less 12 each
"
1954,"e2-husz
","xxx 
","Ehu my Kihu
"
1955,"... x mah dab nir-gal2 {d}a-nun-na-ke4-ne
"," supreme and surpassing authoritative one of the Anuna 
","Do not denigrate your colleagues
"
1956,"3(gesz2) 4(u) 2(disz) a2 geme2 bala-sze3 nu-gen-na ra a tuku
","222 female laborers labor of the female laborers who did not go to bala service  
","22 female laborers halflabor 3 ban2 monthly rations each
"
1957,"tug2-sag-szu tuku5 x ...
","Weaving the capheadcloth   
","The bow that used to be changed
"
1958,"ub-szu-ukken-na ki di gal ku5-ru
","In Ubuukkena the place for making great judgments 
","Ubuukken assembly place that makes the great place tremble
"
1959,"e2 an-sze3 musz-gu7{muszen}-ginx sig7-ga ki-sze3 u5-{muszen}-ginx-a-e szu2-a
","House at its upper end green as a snakeeater bird at its lower end floating on the water like a pelican 
","Temple towards the sky it comes out like the ornament of the end
"
1960,"e2 gir2-su{ki}-ka-ni
","her temple of Girsu 
","his Girsu temple
"
1961,"ur-ku3-nun-na sukkal
","Urkununa courrier
","Urkununa
"
1962,"{d}en-ki du11-ga zi-da-ke4
","Enki he of the righteous utterance 
","by Enki the true command of Enki
"
1963,"5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","5 sila3 beer 5 sila3 bread 5 shekels onions 
","5 sila3 beer 5 sila3 bread 5 shekels garlic
"
1964,"DA DU8 szub-ba-bi PAD-KU-PAD-de3
","to  their fallen 
","In the furrow the members of the ranks of farmers should not cease a net for you
"
